30720 3
-0.580691 -0.799252 -2.59745
-0.448511 -0.880253 -2.32538
-0.305287 -0.939578 -2.05331
-0.154546 -0.975767 -1.78124
4.65661e-10 -0.98793 -1.50917
0.154546 -0.975767 -1.2371
0.305287 -0.939578 -0.965033
0.448511 -0.880253 -0.692964
0.580691 -0.799252 -0.420894
0.698572 -0.698572 -0.148824
0.799252 -0.580691 0.123246
0.880253 -0.448511 0.395316
0.939578 -0.305287 0.667386
0.975767 -0.154546 0.939456
0.98793 4.65661e-10 1.21153
0.975767 0.154546 1.4836
0.939578 0.305287 1.75567
0.880253 0.448511 2.02774
0.799252 0.580691 2.29981
0.698572 0.698572 2.57188
0.580691 0.799252 2.84395
0.448511 0.880253 3.11602
-0.935783 -0.304054 -3.14159
-0.880253 -0.448511 -2.86952
-0.799252 -0.580691 -2.59745
-0.698572 -0.698572 -2.32538
-0.580691 -0.799252 -2.05331
-0.448511 -0.880253 -1.78124
-0.305287 -0.939578 -1.50917
-0.154546 -0.975767 -1.2371
4.65661e-10 -0.98793 -0.965033
0.154546 -0.975767 -0.692964
0.305287 -0.939578 -0.420894
0.448511 -0.880253 -0.148824
0.580691 -0.799252 0.123246
0.698572 -0.698572 0.395316
0.799252 -0.580691 0.667386
0.880253 -0.448511 0.939456
0.939578 -0.305287 1.21153
0.975767 -0.154546 1.4836
0.98793 4.65661e-10 1.75567
0.975767 0.154546 2.02774
0.939578 0.305287 2.29981
0.880253 0.448511 2.57188
0.799252 0.580691 2.84395
0.698572 0.698572 3.11602
-0.98394 -5.16648e-17 -3.14159
-0.975767 -0.154546 -2.86952
-0.939578 -0.305287 -2.59745
-0.880253 -0.448511 -2.32538
-0.799252 -0.580691 -2.05331
-0.698572 -0.698572 -1.78124
-0.580691 -0.799252 -1.50917
-0.448511 -0.880253 -1.2371
-0.305287 -0.939578 -0.965033
-0.154546 -0.975767 -0.692964
4.65661e-10 -0.98793 -0.420894
0.154546 -0.975767 -0.148824
0.305287 -0.939578 0.123246
0.448511 -0.880253 0.395316
0.580691 -0.799252 0.667386
0.698572 -0.698572 0.939456
0.799252 -0.580691 1.21153
0.880253 -0.448511 1.4836
0.939578 -0.305287 1.75567
0.975767 -0.154546 2.02774
0.98793 0.0 2.29981
0.975767 0.154546 2.57188
0.939578 0.305287 2.84395
0.880253 0.448511 3.11602
-0.935783 0.304054 -3.14159
-0.975767 0.154546 -2.86952
-0.98793 -4.65661e-10 -2.59745
-0.975767 -0.154546 -2.32538
-0.939578 -0.305287 -2.05331
-0.880253 -0.448511 -1.78124
-0.799252 -0.580691 -1.50917
-0.698572 -0.698572 -1.2371
-0.580691 -0.799252 -0.965033
-0.448511 -0.880253 -0.692964
-0.305287 -0.939578 -0.420894
-0.154546 -0.975767 -0.148824
4.65661e-10 -0.98793 0.123246
0.154546 -0.975767 0.395316
0.305287 -0.939578 0.667386
0.448511 -0.880253 0.939456
0.580691 -0.799252 1.21153
0.698572 -0.698572 1.4836
0.799252 -0.580691 1.75567
0.880253 -0.448511 2.02774
0.939578 -0.305287 2.29981
0.975767 -0.154546 2.57188
0.98793 4.65662e-10 2.84395
0.975767 0.154546 3.11602
-0.796025 0.578346 -3.14159
-0.880253 0.448511 -2.86952
-0.939578 0.305287 -2.59745
-0.975767 0.154546 -2.32538
-0.98793 -4.65661e-10 -2.05331
-0.975767 -0.154546 -1.78124
-0.939578 -0.305287 -1.50917
-0.880253 -0.448511 -1.2371
-0.799252 -0.580691 -0.965033
-0.698572 -0.698572 -0.692964
-0.580691 -0.799252 -0.420894
-0.448511 -0.880253 -0.148824
-0.305287 -0.939578 0.123246
-0.154546 -0.975767 0.395316
4.65661e-10 -0.98793 0.667386
0.154546 -0.975767 0.939456
0.305287 -0.939578 1.21153
0.448511 -0.880253 1.4836
0.580691 -0.799252 1.75567
0.698572 -0.698572 2.02774
0.799252 -0.580691 2.29981
0.880253 -0.448511 2.57188
0.939578 -0.305287 2.84395
0.975767 -0.154546 3.11602
-0.578346 0.796025 -3.14159
-0.698572 0.698572 -2.86952
-0.799252 0.580691 -2.59745
-0.880253 0.448511 -2.32538
-0.939578 0.305287 -2.05331
-0.975767 0.154546 -1.78124
-0.98793 -4.65661e-10 -1.50917
-0.975767 -0.154546 -1.2371
-0.939578 -0.305287 -0.965033
-0.880253 -0.448511 -0.692964
-0.799252 -0.580691 -0.420894
-0.698572 -0.698572 -0.148824
-0.580691 -0.799252 0.123246
-0.448511 -0.880253 0.395316
-0.305287 -0.939578 0.667386
-0.154546 -0.975767 0.939456
4.65661e-10 -0.98793 1.21153
0.154546 -0.975767 1.4836
0.305287 -0.939578 1.75567
0.448511 -0.880253 2.02774
0.580691 -0.799252 2.29981
0.698572 -0.698572 2.57188
0.799252 -0.580691 2.84395
0.880253 -0.448511 3.11602
-0.304054 0.935783 -3.14159
-0.448511 0.880253 -2.86952
-0.580691 0.799252 -2.59745
-0.698572 0.698572 -2.32538
-0.799252 0.580691 -2.05331
-0.880253 0.448511 -1.78124
-0.939578 0.305287 -1.50917
-0.975767 0.154546 -1.2371
-0.98793 -4.65661e-10 -0.965033
-0.975767 -0.154546 -0.692964
-0.939578 -0.305287 -0.420894
-0.880253 -0.448511 -0.148824
-0.799252 -0.580691 0.123246
-0.698572 -0.698572 0.395316
-0.580691 -0.799252 0.667386
-0.448511 -0.880253 0.939456
-0.305287 -0.939578 1.21153
-0.154546 -0.975767 1.4836
4.65661e-10 -0.98793 1.75567
0.154546 -0.975767 2.02774
0.305287 -0.939578 2.29981
0.448511 -0.880253 2.57188
0.580691 -0.799252 2.84395
0.698572 -0.698572 3.11602
-7.74973e-17 0.98394 -3.14159
-0.154546 0.975767 -2.86952
-0.305287 0.939578 -2.59745
-0.448511 0.880253 -2.32538
-0.580691 0.799252 -2.05331
-0.698572 0.698572 -1.78124
-0.799252 0.580691 -1.50917
-0.880253 0.448511 -1.2371
-0.939578 0.305287 -0.965033
-0.975767 0.154546 -0.692964
-0.98793 -4.65661e-10 -0.420894
-0.975767 -0.154546 -0.148824
-0.939578 -0.305287 0.123246
-0.880253 -0.448511 0.395316
-0.799252 -0.580691 0.667386
-0.698572 -0.698572 0.939456
-0.580691 -0.799252 1.21153
-0.448511 -0.880253 1.4836
-0.305287 -0.939578 1.75567
-0.154546 -0.975767 2.02774
4.65661e-10 -0.98793 2.29981
0.154546 -0.975767 2.57188
0.305287 -0.939578 2.84395
0.448511 -0.880253 3.11602
0.304054 0.935783 -3.14159
0.154546 0.975767 -2.86952
-4.65661e-10 0.98793 -2.59745
-0.154546 0.975767 -2.32538
-0.305287 0.939578 -2.05331
-0.448511 0.880253 -1.78124
-0.580691 0.799252 -1.50917
-0.698572 0.698572 -1.2371
-0.799252 0.580691 -0.965033
-0.880253 0.448511 -0.692964
-0.939578 0.305287 -0.420894
-0.975767 0.154546 -0.148824
-0.98793 -4.65661e-10 0.123246
-0.975767 -0.154546 0.395316
-0.939578 -0.305287 0.667386
-0.880253 -0.448511 0.939456
-0.799252 -0.580691 1.21153
-0.698572 -0.698572 1.4836
-0.580691 -0.799252 1.75567
-0.448511 -0.880253 2.02774
-0.305287 -0.939578 2.29981
-0.154546 -0.975767 2.57188
4.65661e-10 -0.98793 2.84395
0.154546 -0.975767 3.11602
0.578346 0.796025 -3.14159
0.448511 0.880253 -2.86952
0.305287 0.939578 -2.59745
0.154546 0.975767 -2.32538
-4.65661e-10 0.98793 -2.05331
-0.154546 0.975767 -1.78124
-0.305287 0.939578 -1.50917
-0.448511 0.880253 -1.2371
-0.580691 0.799252 -0.965033
-0.698572 0.698572 -0.692964
-0.799252 0.580691 -0.420894
-0.880253 0.448511 -0.148824
-0.939578 0.305287 0.123246
-0.975767 0.154546 0.395316
-0.98793 -4.65661e-10 0.667386
-0.975767 -0.154546 0.939456
-0.939578 -0.305287 1.21153
-0.880253 -0.448511 1.4836
-0.799252 -0.580691 1.75567
-0.698572 -0.698572 2.02774
-0.580691 -0.799252 2.29981
-0.448511 -0.880253 2.57188
-0.305287 -0.939578 2.84395
-0.154546 -0.975767 3.11602
0.796025 0.578346 -3.14159
0.698572 0.698572 -2.86952
0.580691 0.799252 -2.59745
0.448511 0.880253 -2.32538
0.305287 0.939578 -2.05331
0.154546 0.975767 -1.78124
-4.65661e-10 0.98793 -1.50917
-0.154546 0.975767 -1.2371
-0.305287 0.939578 -0.965033
-0.448511 0.880253 -0.692964
-0.580691 0.799252 -0.420894
-0.698572 0.698572 -0.148824
-0.799252 0.580691 0.123246
-0.880253 0.448511 0.395316
-0.939578 0.305287 0.667386
-0.975767 0.154546 0.939456
-0.98793 -4.65661e-10 1.21153
-0.975767 -0.154546 1.4836
-0.939578 -0.305287 1.75567
-0.880253 -0.448511 2.02774
-0.799252 -0.580691 2.29981
-0.698572 -0.698572 2.57188
-0.580691 -0.799252 2.84395
-0.448511 -0.880253 3.11602
0.935783 0.304054 -3.14159
0.880253 0.448511 -2.86952
0.799252 0.580691 -2.59745
0.698572 0.698572 -2.32538
0.580691 0.799252 -2.05331
0.448511 0.880253 -1.78124
0.305287 0.939578 -1.50917
0.154546 0.975767 -1.2371
-4.65661e-10 0.98793 -0.965033
-0.154546 0.975767 -0.692964
-0.305287 0.939578 -0.420894
-0.448511 0.880253 -0.148824
-0.580691 0.799252 0.123246
-0.698572 0.698572 0.395316
-0.799252 0.580691 0.667386
-0.880253 0.448511 0.939456
-0.939578 0.305287 1.21153
-0.975767 0.154546 1.4836
-0.98793 -4.65661e-10 1.75567
-0.975767 -0.154546 2.02774
-0.939578 -0.305287 2.29981
-0.880253 -0.448511 2.57188
-0.799252 -0.580691 2.84395
-0.698572 -0.698572 3.11602
0.984401 -0.0774738 -3.00556
0.984401 0.0774738 -3.00556
0.987916 2.7105e-18 -2.86952
0.971798 0.153918 -3.14159
0.960162 0.230515 -3.00556
0.971798 -0.153918 -3.14159
0.960162 -0.230515 -3.00556
0.984876 0.0775114 -2.73349
0.960625 0.230626 -2.73349
0.975753 0.154544 -2.59745
0.939564 0.305283 -2.86952
0.912721 0.378061 -2.73349
0.984876 -0.0775114 -2.73349
0.91228 0.377879 -3.00556
0.960625 0.230626 -2.46142
0.912721 0.378061 -2.46142
0.939564 0.305283 -2.32538
0.88024 0.448504 -2.59745
0.842341 0.516187 -2.46142
0.984876 0.0775114 -2.46142
0.842341 0.516187 -2.73349
0.912721 0.378061 -2.18935
0.842341 0.516187 -2.18935
0.88024 0.448504 -2.05331
0.799241 0.580683 -2.32538
0.751221 0.641603 -2.18935
0.960625 0.230626 -2.18935
0.751221 0.641603 -2.46142
